Rank,County,Population
1,Franklin,1310300
2,Cuyahoga,1243857
3,Hamilton,816684
4,Summit,541918
5,Montgomery,532331
6,Lucas,429899
7,Butler,382378
8,Stark,371574
9,Lorain,309461
10,Warren,232173
11,Lake,230514
12,Mahoning,229642
13,Clermont,205466
14,Delaware,204826
15,Trumbull,198627
16,Medina,179146
17,Licking,175769
18,Greene,167995
19,Portage,162927
20,Fairfield,155782
21,Clark,134585
22,Wood,130696
23,Richland,121099
24,Wayne,115967
25,Miami,106222
26,Columbiana,102665
27,Allen,102663
28,Ashtabula,97493
29,Geauga,94031
30,Tuscarawas,92176
31,Muskingum,86183
32,Ross,76931
33,Hancock,75930
34,Scioto,75502
35,Erie,74615
36,Belmont,67505
37,Athens,65818
38,Jefferson,65767
39,Marion,65256
40,Knox,61893
41,Washington,60155
42,Lawrence,59866
43,Sandusky,58799
44,Huron,58504
45,Pickaway,58086
46,Union,57835
47,Seneca,55207
48,Ashland,53745
49,Darke,51323
50,Shelby,48627
51,Auglaize,45804
52,Logan,45358
53,Madison,44413
54,Holmes,43892
55,Brown,43602
56,Highland,43058
57,Fulton,42276
58,Clinton,42057
59,Crawford,41550
60,Preble,40997
61,Mercer,40959
62,Ottawa,40769
63,Guernsey,39022
64,Champaign,38754
65,Defiance,38165
66,Williams,36804
67,Coshocton,36629
68,Perry,36033
69,Morrow,35112
70,Putnam,33780
71,Jackson,32384
72,Hardin,31480
73,Gallia,29979
74,Fayette,28666
75,Hocking,28385
76,Van Wert,28281
77,Pike,28067
78,Adams,27724
79,Henry,27086
80,Carroll,27081
81,Meigs,23106
82,Wyandot,21935
83,Paulding,18760
84,Harrison,15174
85,Morgan,14604
86,Noble,14354
87,Monroe,13790
88,Vinton,13139
